marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
,Tênis Masculino Dia A Dia Moderno Leve Confortável Promoção,69,90,66,40,5.0,(2)
OLYMPIKUS,Tênis Olympikus Utraleve 130 Academia Amarrar Maculino,229,79,32,83,,
OLYMPIKUS,Tênis De Corrida Leve Confortável Olympikus Reverso 2 - Nfe,379,99,281,19,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,78,42,69,14,4.7,(3561)
OLYMPIKUS,Tênis Olympikus Casual Olimpicos Confortável Pra Corrida Nfe,229,99,153,90,4.8,(1026)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,7,68,4.4,(3207)
NEW SPEED,Kit 2 Pares De Tenis New Speed Classico Running Lançamento,299,,33,,,
FILA,Tênis Fila Arched Esportivo Adulto Corrida Original Academia,268,75,215,90,5.0,(4)
,"Tenis Esportivo Masculino, Academia , Corrida , Caminhada",89,90,29,97,,
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,90,7,67,4.6,(1060)
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",209,90,199,40,4.8,(670)
,Sapatilha Aquática Unissex Rio Pesca Praia Neoprene Flexível,78,90,58,38,4.7,(258)
PUMA,Puma Smash V2 L Masculino Adultos,349,99,248,49,4.8,(28)
,"Tenis Olympikus Proof 3 Masculino Numero 45,46,47,48",209,90,199,40,4.8,(670)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,4.6,(1829)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,239,91,215,91,4.6,(27)
MIZUNO,Tenis Esportivo Mizuno 101087087 Cool Ride 3 Pto,379,90,37,99,,
PUMA,Puma Smash V2 L Masculino Adultos,349,99,248,49,4.8,(28)
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,189,90,31,65,,
,Tenis Masculino Couro Okley Teeth Jet Noise Conforto Barato,229,90,32,84,,
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,99,254,99,4.8,(725)
OLYMPIKUS,Tênis Olympikus Utraleve 130 Corrida Confortavel Maculino,219,49,21,33,,
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.6,(243)
,Sapatenis Casual Masculino Esporte Fino Estiloso,84,90,8,25,5.0,(2)
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.7,(252)
ABUZZE,Tênis Masculino De Corrida I Free-run,99,90,88,91,,
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,,17,,4.6,(1225)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.6,(243)
DIADORA,Tênis Diadora Unissex Chiesa Preto,199,99,33,33,,
OLYMPIKUS,Tênis Olympikus Utraleve 130 Academia Amarrar Maculino,229,79,32,83,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,219,96,183,66,4.8,(2284)
NEW BALANCE,Tênis New Balance Academia Couro Camurça Barato Envio Rápido,333,33,99,99,,
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,139,90,13,60,4.2,(696)
,Kit 2 Tênis Masculino Academia Corrida Caminhada Esportivo,149,90,128,91,5.0,(3)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,156,80,4.5,(11823)
,Tênis Academia Caminhada Leve Barato Corrida,79,90,26,63,,
FILA,Tenis Fila Float Maxxi 2 Pro Masculino-laranja/preto/azul,599,90,59,99,4.9,(12)
OLYMPIKUS,Tênis Olympikus Vibração Masculino Esportivo - Original,199,90,142,90,4.7,(588)
OLYMPIKUS,Tênis Olympikus Masculino Dynamic Confortável,311,90,277,59,,
MIZUNO,Tênis Mizuno Wave Sky 8 - Masculino - Marinho-branco,879,,88,,5.0,(1)
OLYMPIKUS,Olympikus Eros Masculino Adultos,222,11,166,15,4.8,(2404)
NEW BALANCE,Tenis New Balance Fuelcell Elite V4 Turquesa Original,1.799,,179,,,
FILA,Tênis Masculino Fila Acer Esportivo Corrida Academia,349,90,34,99,,
